,2000/12,2001/12,2002/12,2003/12,2004/12,2005/06,2005/12,2006/06,2006/12,2007/06,2007/12,2008/06,2008/12,2009/06,2009/12,2010/03,2010/06,2010/09,2010/12,2011/03,2011/06,2011/09,2011/12,2012/03,2012/06,2012/09,2012/12,2013/03
number of part-time employees,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
other equity adjustments,262.0,499.0,"-5,710.0",612.0,658.0,665.0,659.0,734.0,695.0,745.0,-119.0,"-1,366.0","-3,559.9","14,576.3","11,442.9",0.0,"11,602.3",0.0,"17,864.9","70,967.4","19,848.1","72,244.0","21,453.9","74,941.5","73,240.0","74,544.8","20,849.7","66,073.5"
other non-cash items,-142.0,"8,539.0",668.0,"-11,187.0","-4,944.0","-1,348.0","-5,361.0","9,889.0","-2,776.0",490.0,"3,821.0","-3,060.0","48,655.0","-8,646.0","16,552.3",0.0,"17,302.5",0.0,"-13,626.7",0.0,"3,400.3",0.0,"29,147.0",0.0,"2,046.8",0.0,"-3,645.7",0.0
other special charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"-1,095.0",0.0,0.0,0.0,0.0,0.0,"-30,721.2",0.0,"-3,508.1","-1,970.6","-6,124.2","-5,148.6","-21,089.5","12,801.2","2,010.8","-10,610.5","-1,305.3"
preferred dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.7,0.0
preferred shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.1,0.0,0.0,0.0,414.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preferred stock equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarterly indicator,4,4,4,4,4,2,4,2,4,2,4,2,4,2,4,1,2,3,4,1,2,3,4,1,2,3,4,1
repayment of long-term debt,-82.0,-220.0,-89.0,-136.0,"-1,467.0",0.0,-403.0,0.0,"-1,487.0",0.0,-596.0,0.0,"-1,656.3","-10,266.5","-15,371.8",0.0,"-1,566.4",0.0,"-1,055.7",0.0,"-1,483.4",0.0,"-1,667.5",0.0,-23.5,0.0,"-1,073.0",0.0
restricted cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retained earnings,"12,147.0","11,718.0","12,284.0","11,997.0","13,555.0","11,700.0","12,424.0","13,106.0","15,874.0","16,640.0","18,801.0","17,235.0","11,875.8","25,465.2","18,163.9",0.0,"17,693.0",0.0,"13,958.5",0.0,"14,648.1",0.0,"13,476.6",0.0,0.0,0.0,"11,607.8",0.0
total ordinary shares,"5,642.4","5,669.1","5,720.4","5,731.3","5,814.9","5,729.5","5,821.3","5,742.1","5,859.8","5,774.9","5,869.8","5,790.2","6,204.7",0.0,"63,774.5",0.0,"68,074.0",0.0,"68,155.1",0.0,"68,807.0",0.0,"68,807.5",0.0,0.0,0.0,"70,423.8",0.0
treasury shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treasury stock,-369.0,0.0,-248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
