TICKER	NAME	EXCHANGE
PX	Praxair Inc.	NYSE
BAX	Baxter International Inc.	NYSE
PTR	PetroChina Co. Ltd.	NYSE
EOG	EOG Resources Inc.	NYSE
SYT	Syngenta AG	NYSE
PNC	PNC Financial Services Group Inc.	NYSE
MET	MetLife Inc.	NYSE
YUM	Yum+ACE- Brands Inc.	NYSE
CM	Canadian Imperial Bank of Commerce	NYSE
CS	Credit Suisse Group	NYSE
DHR	Danaher Corp.	NYSE
FTE	France Telecom	NYSE
NEM	Newmont Mining Corp.	NYSE
STO	Statoil ASA	NYSE
WAG	Walgreen Co.	NYSE
DVN	Devon Energy Corp.	NYSE
PRU	Prudential Financial Inc.	NYSE
CVE	Cenovus Energy Inc.	NYSE
PUK	Prudential PLC	NYSE
TRP	TransCanada Corp.	NYSE
D	Dominion Resources Inc. (Virginia)	NYSE
KMB	Kimberly+AC0-Clark Corp.	NYSE
BT	BT Group PLC	NYSE
DUK	Duke Energy Corp.	NYSE
DCM	NTT DOCOMO Inc.	NYSE
TJX	TJX Cos.	NYSE
AGN	Allergan Inc.	NYSE
BK	Bank of New York Mellon Corp.	NYSE
ENB	Enbridge Inc.	NYSE
FDX	FedEx Corp.	NYSE
COV	Covidien PLC	NYSE
SSL	Sasol Ltd.	NYSE
EXC	Exelon Corp.	NYSE
HIT	Hitachi Ltd.	NYSE
NEE	NextEra Energy Inc.	NYSE
AMT	American Tower REIT	NYSE
TWC	Time Warner Cable Inc.	NYSE
PKX	POSCO	NYSE
MRO	Marathon Oil Corp.	NYSE
ACE	ACE Ltd.	NYSE
MHS	Medco Health Solutions Inc.	NYSE
MS	Morgan Stanley	NYSE
CTL	CenturyLink Inc.	NYSE
PCP	Precision Castparts Corp.	NYSE
TRV	Travelers Cos. Inc.	NYSE
TYC	Tyco International Ltd.	NYSE
NSC	Norfolk Southern Corp.	NYSE
ITW	Illinois Tool Works Inc.	NYSE
LFC	China Life Insurance Co. Ltd.	NYSE
GIS	General Mills Inc.	NYSE
LMT	Lockheed Martin Corp.	NYSE
WLP	WellPoint Inc.	NYSE
CSX	CSX Corp.	NYSE
BHI	Baker Hughes Inc.	NYSE
JCI	Johnson Controls Inc.	NYSE
COF	Capital One Financial Corp.	NYSE
LYG	Lloyds Banking Group PLC	NYSE
MFC	Manulife Financial Corp.	NYSE
AFL	AFLAC Inc.	NYSE
COH	Coach Inc.	NYSE
NOK	Nokia Corp.	NYSE
TMO	Thermo Fisher Scientific Inc.	NYSE
SNE	Sony Corp.	NYSE
GD	General Dynamics Corp.	NYSE
GLW	Corning Inc.	NYSE
PHG	Koninklijke Philips Electronics N.V.	NYSE
PC	Panasonic Corp.	NYSE
CMI	Cummins Inc.	NYSE
LVS	Las Vegas Sands Corp.	NYSE
EP	El Paso Corp.	NYSE
SE	Spectra Energy Corp.	NYSE
HES	Hess Corp.	NYSE
BBT	BB+ACY-T Corp.	NYSE
MCK	McKesson Corp.	NYSE
STT	State Street Corp.	NYSE
BLK	BlackRock Inc.	NYSE
MT	ArcelorMittal	NYSE
HDB	HDFC Bank Ltd.	NYSE
ADM	Archer Daniels Midland Co.	NYSE
NTT	Nippon Telegraph +ACY- Telephone Corp.	NYSE
TCK	Teck Resources Ltd.	NYSE
PSA	Public Storage	NYSE
CB	Chubb Corp.	NYSE
SNP	China Petroleum +ACY- Chemical Corp.	NYSE
CBS	CBS Corp. Cl B	NYSE
NBL	Noble Energy Inc.	NYSE
FE	FirstEnergy Corp.	NYSE
APD	Air Products +ACY- Chemicals Inc.	NYSE
AEP	American Electric Power Co. Inc.	NYSE
MOS	Mosaic Co.	NYSE
BEN	Franklin Resources Inc.	NYSE
BAM	Brookfield Asset Management Inc. Cl A	NYSE
RTN	Raytheon Co.	NYSE
CRM	Salesforce.com Inc.	NYSE
LO	Lorillard Inc.	NYSE
SHG	Shinhan Financial Group Co. Ltd.	NYSE
ETN	Eaton Corp.	NYSE
NMR	Nomura Holdings Inc.	NYSE
SYY	Sysco Corp.	NYSE
MMC	Marsh +ACY- McLennan Cos.	NYSE
HNZ	H.J. Heinz Co.	NYSE
WMB	Williams Cos.	NYSE
ED	Consolidated Edison Inc.	NYSE
EQR	Equity Residential	NYSE
AET	Aetna Inc.	NYSE
ECL	Ecolab Inc.	NYSE
PCG	PG+ACY-E Corp.	NYSE
CHK	Chesapeake Energy Corp.	NYSE
PPL	PPL Corp.	NYSE
AU	AngloGold Ashanti Ltd.	NYSE
DFS	Discover Financial Services	NYSE
RIG	Transocean Ltd.	NYSE
AV	Aviva PLC	NYSE
VTR	Ventas Inc.	NYSE
NLY	Annaly Capital Management Inc.	NYSE
SYK	Stryker Corp.	NYSE
PSO	Pearson PLC	NYSE
IBN	ICICI Bank Ltd.	NYSE
MJN	Mead Johnson Nutrition Co.	NYSE
BDX	Becton Dickinson +ACY- Co.	NYSE
HCP	HCP Inc.	NYSE
KYO	Kyocera Corp.	NYSE
M	Macy's Inc.	NYSE
CRH	CRH PLC	NYSE
PGN	Progress Energy Inc.	NYSE
GR	Goodrich Corp.	NYSE
VNO	Vornado Realty Trust	NYSE
TEL	TE Connectivity Ltd.	NYSE
PLD	ProLogis Inc.	NYSE
AON	AON Corp.	NYSE
PEG	Public Service Enterprise Group Inc.	NYSE
MPC	Marathon Petroleum Corp.	NYSE
GM	General Motors Co.	NYSE
FMS	Fresenius Medical Care AG +ACY- Co. KGaA	NYSE
LYB	LyondellBasell Industries N.V. Cl A	NYSE
BXP	Boston Properties Inc.	NYSE
ALL	Allstate Corp.	NYSE
A	Agilent Technologies Inc.	NYSE
RCI	Rogers Communications Inc. Cl B	NYSE
TLM	Talisman Energy Inc.	NYSE
ECA	EnCana Corp.	NYSE
NOC	Northrop Grumman Corp.	NYSE
HUM	Humana Inc.	NYSE
CAH	Cardinal Health Inc.	NYSE
WM	Waste Management Inc.	NYSE
KB	KB Financial Group Inc.	NYSE
PXD	Pioneer Natural Resources Co.	NYSE
MSI	Motorola Solutions Inc.	NYSE
PPG	PPG Industries Inc.	NYSE
STJ	St. Jude Medical Inc.	NYSE
RAI	Reynolds American Inc.	NYSE
SCHW	Charles Schwab Corp.	NYSE
VLO	Valero Energy Corp.	NYSE
CAM	Cameron International Corp.	NYSE
BRFS	BRF+AC0-Brazil Foods S/A	NYSE
SLW	Silver Wheaton Corp.	NYSE
PH	Parker Hannifin Corp.	NYSE
L	Loews Corp.	NYSE
MHP	McGraw+AC0-Hill Cos.	NYSE
EL	Estee Lauder Cos. Inc.	NYSE
ESV	ENSCO PLC	NYSE
OMC	Omnicom Group Inc.	NYSE
IP	International Paper Co.	NYSE
AGU	Agrium Inc.	NYSE
AUY	Yamana Gold Inc.	NYSE
KR	Kroger Co.	NYSE
CF	CF Industries Holdings Inc.	NYSE
SDRL	SeaDrill Ltd.	NYSE
K	Kellogg Co.	NYSE
SRE	Sempra Energy	NYSE
CI	Cigna Corp.	NYSE
PGR	Progressive Corp.	NYSE
VRX	Valeant Pharmaceuticals International Inc.	NYSE
XEL	Xcel Energy Inc.	NYSE
CCI	Crown Castle International Corp.	NYSE
AMP	Ameriprise Financial Inc.	NYSE
CP	Canadian Pacific Railway Ltd.	NYSE
VFC	VF Corp.	NYSE
KGC	Kinross Gold Corp.	NYSE
IR	Ingersoll+AC0-Rand Co. Ltd.	NYSE
EIX	Edison International	NYSE
KSS	Kohl's Corp.	NYSE
FTI	FMC Technologies Inc.	NYSE
JNPR	Juniper Networks Inc.	NYSE
MUR	Murphy Oil Corp.	NYSE
SWK	Stanley Black +ACY- Decker Inc.	NYSE
AVB	Avalonbay Communities Inc.	NYSE
NUE	Nucor Corp.	NYSE
SLF	Sun Life Financial Inc.	NYSE
WFT	Weatherford International Ltd.	NYSE
AIG	American International Group Inc.	NYSE
GWW	W.W. Grainger Inc.	NYSE
DOV	Dover Corp.	NYSE
SWN	Southwestern Energy Co.	NYSE
CMG	Chipotle Mexican Grill Inc.	NYSE
TI	Telecom Italia S.p.A.	NYSE
CCL	Carnival Corp.	NYSE
ZMH	Zimmer Holdings Inc.	NYSE
STI	SunTrust Banks Inc.	NYSE
ETR	Entergy Corp.	NYSE
SLE	Sara Lee Corp.	NYSE
ROK	Rockwell Automation Corp.	NYSE
NJ	Nidec Corp.	NYSE
LTD	Limited Brands Inc.	NYSE
CXO	Concho Resources Inc.	NYSE
EC	Ecopetrol S.A.	NYSE
MMI	Motorola Mobility Holdings Inc.	NYSE
KUB	Kubota Corp.	NYSE
TV	Grupo Televisa S.A. de C.V.	NYSE
XRX	Xerox Corp.	NYSE
ADI	Analog Devices Inc.	NYSE
GFI	Gold Fields Ltd.	NYSE
CHT	Chunghwa Telecom Co. Ltd.	NYSE
HST	Host Hotels +ACY- Resorts Inc.	NYSE
WY	Weyerhaeuser Co.	NYSE
IVZ	INVESCO Ltd.	NYSE
CAG	ConAgra Foods Inc.	NYSE
HOG	Harley+AC0-Davidson Inc.	NYSE
NXY	Nexen Inc.	NYSE
AA	Alcoa Inc.	NYSE
WU	Western Union Co.	NYSE
TDC	Teradata Corp.	NYSE
FLR	Fluor Corp.	NYSE
AZO	AutoZone Inc.	NYSE
RUK	Reed Elsevier PLC	NYSE
HOT	Starwood Hotels +ACY- Resorts Worldwide Inc.	NYSE
RL	Ralph Lauren Corp. Cl A	NYSE
RRC	Range Resources Corp.	NYSE
AES	AES Corp.	NYSE
TRI	Thomson Reuters Corp.	NYSE
IX	Orix Corp.	NYSE
MGA	Magna International Inc.	NYSE
BCE	BCE Inc.	NYSE
HCN	Health Care REIT Inc.	NYSE
MTB	M+ACY-T Bank Corp.	NYSE
MAR	Marriott International Inc. Cl A	NYSE
NE	Noble Corp.	NYSE
ABC	AmerisourceBergen Corp.	NYSE
ICE	IntercontinentalExchange Inc.	NYSE
BG	Bunge Ltd.	NYSE
CBE	Cooper Industries PLC Cl A	NYSE
CCJ	Cameco Corp.	NYSE
BTU	Peabody Energy Corp.	NYSE
CLF	Cliffs Natural Resources Inc.	NYSE
GPC	Genuine Parts Co.	NYSE
RHT	Red Hat Inc.	NYSE
PWE	Penn West Petroleum Ltd.	NYSE
JOY	Joy Global Inc.	NYSE
MBT	Mobile Telesystems	NYSE
HSY	Hershey Co.	NYSE
TS	Tenaris S.A.	NYSE
TTM	Tata Motors Ltd.	NYSE
APH	Amphenol Corp. Cl A	NYSE
COL	Rockwell Collins Inc.	NYSE
BSX	Boston Scientific Corp.	NYSE
DTE	DTE Energy Co.	NYSE
WDC	Western Digital Corp.	NYSE
HIG	Hartford Financial Services Group Inc.	NYSE
ENL	Reed Elsevier N.V.	NYSE
ROP	Roper Industries Inc.	NYSE
RSG	Republic Services Inc.	NYSE
CLX	Clorox Co.	NYSE
LH	Laboratory Corp. of America Holdings	NYSE
BWA	BorgWarner Inc.	NYSE
DGX	Quest Diagnostics Inc.	NYSE
CCE	Coca+AC0-Cola Enterprises Inc.	NYSE
AEG	Aegon N.V.	NYSE
SHW	Sherwin+AC0-Williams Co.	NYSE
SNN	Smith +ACY- Nephew PLC	NYSE
JWN	Nordstrom Inc.	NYSE
CHU	China Unicom (Hong Kong) Ltd.	NYSE
SJM	J.M. Smucker Co.	NYSE
BEAM	Beam Inc.	NYSE
EW	Edwards Lifesciences Corp.	NYSE
TU	TELUS Corp. Non Voting shares	NYSE
VMW	VMware Inc.	NYSE
DNR	Denbury Resources Inc.	NYSE
THI	Tim Hortons Inc.	NYSE
DPS	Dr Pepper Snapple Group Inc.	NYSE
TIF	Tiffany +ACY- Co.	NYSE
FRX	Forest Laboratories Inc.	NYSE
EGO	Eldorado Gold Corp.	NYSE
PFG	Principal Financial Group Inc.	NYSE
CHA	China Telecom Corp. Ltd.	NYSE
CNX	Consol Energy Inc.	NYSE
AVP	Avon Products Inc.	NYSE
BCR	C.R. Bard Inc.	NYSE
SID	Companhia Siderurgica Nacional	NYSE
OKE	ONEOK Inc.	NYSE
DVA	DaVita Inc.	NYSE
FIS	Fidelity National Information Services Inc.	NYSE
WAT	Waters Corp.	NYSE
NYX	NYSE Euronext	NYSE
CIT	CIT Group Inc.	NYSE
EQT	EQT Corp.	NYSE
DAL	Delta Air Lines Inc.	NYSE
RBS	Royal Bank of Scotland Group PLC	NYSE
WEC	Wisconsin Energy Corp.	NYSE
SJR	Shaw Communications Inc. Cl B NV	NYSE
ABV.C	Companhia de Bebidas das Americas	NYSE
VAR	Varian Medical Systems Inc.	NYSE
AME	Ametek Inc.	NYSE
AEE	Ameren Corp.	NYSE
HLF	Herbalife Ltd.	NYSE
LNC	Lincoln National Corp.	NYSE
KEY	KeyCorp	NYSE
TXT	Textron Inc.	NYSE
CE	Celanese Corp. Series A	NYSE
KIM	Kimco Realty Corp.	NYSE
KSU	Kansas City Southern	NYSE
TLK	Telekomunikasi Indonesia	NYSE
CX	Cemex S.A.B. de C.V.	NYSE
LLL	L+AC0-3 Communications Holdings Inc.	NYSE
DLR	Digital Realty Trust Inc.	NYSE
CNP	CenterPoint Energy Inc.	NYSE
COG	Cabot Oil +ACY- Gas Corp.	NYSE
MCO	Moody's Corp.	NYSE
S	Sprint Nextel Corp.	NYSE
WPI	Watson Pharmaceuticals Inc.	NYSE
XEC	Cimarex Energy Co.	NYSE
BBY	Best Buy Co. Inc.	NYSE
PLL	Pall Corp.	NYSE
WLL	Whiting Petroleum Corp.	NYSE
RF	Regions Financial Corp.	NYSE
BF.B	Brown+AC0-Forman Corp. Cl B	NYSE
MAC	Macerich Co.	NYSE
SWY	Safeway Inc.	NYSE
EMN	Eastman Chemical Co.	NYSE
FMC	FMC Corp.	NYSE
CHD	Church +ACY- Dwight Co.	NYSE
TAP	Molson Coors Brewing Co. Cl B	NYSE
KMX	CarMax Inc.	NYSE
UMC	United Microelectronics Corp.	NYSE
UNM	Unum Group	NYSE
WYN	Wyndham Worldwide Corp.	NYSE
LUV	Southwest Airlines Co.	NYSE
BTE	Baytex Energy Corp.	NYSE
UAL	United Continental Holdings Inc.	NYSE
CPB	Campbell Soup Co.	NYSE
BVN	Compania de Minas Buenaventura S.A.	NYSE
FLS	Flowserve Corp.	NYSE
NI	NiSource Inc.	NYSE
CEG	Constellation Energy Group Inc.	NYSE
HFC	HollyFrontier Corp.	NYSE
PXP	Plains Exploration +ACY- Production Co.	NYSE
BLL	Ball Corp.	NYSE
DRI	Darden Restaurants Inc.	NYSE
BAP	Credicorp Ltd.	NYSE
SLG	SL Green Realty Corp.	NYSE
GGP	General Growth Properties Inc.	NYSE
XL	XL Group PLC	NYSE
NBR	Nabors Industries Ltd.	NYSE
IHG	InterContinental Hotels Group PLC	NYSE
PCL	Plum Creek Timber Co. Inc. REIT	NYSE
AEM	Agnico+AC0-Eagle Mines Ltd.	NYSE
NU	Northeast Utilities	NYSE
AAP	Advance Auto Parts Inc.	NYSE
JCP	J.C. Penney Co. Inc.	NYSE
ADS	Alliance Data Systems Corp.	NYSE
HP	Helmerich +ACY- Payne Inc.	NYSE
ALV	Autoliv Inc.	NYSE
OII	Oceaneering International Inc.	NYSE
QEP	QEP Resources Inc.	NYSE
WSH	Willis Group Holdings PLC	NYSE
FRT	Federal Realty Investment Trust	NYSE
ELN	Elan Corp. PLC	NYSE
FDO	Family Dollar Stores Inc.	NYSE
JEC	Jacobs Engineering Group Inc.	NYSE
MKC	McCormick +ACY- Co. Inc.	NYSE
CPN	Calpine Corp.	NYSE
ALU	Alcatel+AC0-Lucent	NYSE
FNV	Franco+AC0-Nevada Corp.	NYSE
HSP	Hospira Inc.	NYSE
CLB	Core Laboratories N.V.	NYSE
DOX	Amdocs Ltd.	NYSE
IAG	IAMGOLD Corp.	NYSE
KEP	Korea Electric Power Corp.	NYSE
AWK	American Water Works Co.	NYSE
CMA	Comerica Inc.	NYSE
ALB	Albemarle Corp.	NYSE
TSN	Tyson Foods Inc. Cl A	NYSE
CFN	CareFusion Corp.	NYSE
GPS	Gap Inc.	NYSE
MTD	Mettler+AC0-Toledo International Inc.	NYSE
RAX	Rackspace Hosting Inc.	NYSE
SCCO	Southern Copper Corp.	NYSE
EOC	Empresa Nacional de Electricidad S.A.	NYSE
NYB	New York Community Bancorp Inc.	NYSE
PHI	Philippine Long Distance Telephone Co.	NYSE
UDR	UDR Inc.	NYSE
AMG	Affiliated Managers Group Inc.	NYSE
DEG	Delhaize Group	NYSE
LUK	Leucadia National Corp.	NYSE
CCK	Crown Holdings Inc.	NYSE
CMS	CMS Energy Corp.	NYSE
CLR	Continental Resources Inc.	NYSE
CBG	CBRE Group Inc. Cl A	NYSE
KBR	KBR Inc.	NYSE
RYN	Rayonier Inc. REIT	NYSE
WHR	Whirlpool Corp.	NYSE
NWL	Newell Rubbermaid Inc.	NYSE
AVT	Avnet Inc.	NYSE
VMC	Vulcan Materials Co.	NYSE
ENR	Energizer Holdings Inc.	NYSE
IPG	Interpublic Group of Cos.	NYSE
ARG	Airgas Inc.	NYSE
IRM	Iron Mountain Inc.	NYSE
TDG	TransDigm Group Inc.	NYSE
SQM	Sociedad Quimica y Minera De Chile S.A.	NYSE
SM	SM Energy Co.	NYSE
SCG	Scana Corp.	NYSE
ASX	Advanced Semiconductor Engineering Inc.	NYSE
LPL	LG Display Co. Ltd.	NYSE
MWV	MeadWestvaco Corp.	NYSE
OGE	OGE Energy Corp.	NYSE
WIT	Wipro Ltd.	NYSE
PNW	Pinnacle West Capital Corp.	NYSE
CUK	Carnival PLC	NYSE
EFX	Equifax Inc.	NYSE
TMK	Torchmark Corp.	NYSE
LUX	Luxottica Group S.p.A.	NYSE
SUG	Southern Union Co.	NYSE
DG	Dollar General Corp.	NYSE
TPX	Tempur+AC0-Pedic International Inc.	NYSE
AGCO	AGCO Corp.	NYSE
DCI	Donaldson Co. Inc.	NYSE
PVH	PVH Corp.	NYSE
ENI	Enersis S.A.	NYSE
XYL	Xylem Inc.	NYSE
HRB	H+ACY-R Block Inc.	NYSE
HRS	Harris Corp.	NYSE
JBL	Jabil Circuit Inc.	NYSE
O	Realty Income Corp.	NYSE
CSC	Computer Sciences Corp.	NYSE
RDC	Rowan Cos. Inc.	NYSE
NFX	Newfield Exploration Co.	NYSE
LSI	LSI Corp.	NYSE
PAY	VeriFone Systems Inc.	NYSE
NST	NSTAR	NYSE
YZC	Yanzhou Coal Mining Co. Ltd.	NYSE
RKT	Rock+AC0-Tenn Co. Cl A	NYSE
CVH	Coventry Health Care Inc.	NYSE
STM	STMicroelectronics N.V.	NYSE
IVN	Ivanhoe Mines Ltd.	NYSE
LEA	Lear Corp.	NYSE
ESS	Essex Property Trust Inc.	NYSE
GIB	CGI Group Inc. Cl A	NYSE
LNT	Alliant Energy Corp.	NYSE
HMY	Harmony Gold Mining Co. Ltd.	NYSE
TRW	TRW Automotive Holdings Corp.	NYSE
VE	Veolia Environnement S.A.	NYSE
ATI	Allegheny Technologies Inc.	NYSE
BCH	Banco de Chile	NYSE
GAS	AGL Resources Inc.	NYSE
TAC	Transalta Corp.	NYSE
CIE	Cobalt International Energy Inc.	NYSE
SPN	Superior Energy Services Inc.	NYSE
IFF	International Flavors +ACY- Fragrances Inc.	NYSE
ANR	Alpha Natural Resources Inc.	NYSE
IGT	International Game Technology	NYSE
ARW	Arrow Electronics Inc.	NYSE
BPO	Brookfield Office Properties Inc.	NYSE
MGM	MGM Resorts International	NYSE
CPT	Camden Property Trust	NYSE
ASH	Ashland Inc.	NYSE
CBI	Chicago Bridge +ACY- Iron Co. N.V.	NYSE
GNW	Genworth Financial Inc. Cl A	NYSE
IHS	IHS Inc. Cl A	NYSE
POM	Pepco Holdings Inc.	NYSE
HCA	HCA Holdings Inc.	NYSE
CGV	CGG Veritas	NYSE
LFL	LAN Airlines S.A.	NYSE
FL	Foot Locker Inc.	NYSE
DO	Diamond Offshore Drilling Inc.	NYSE
ARE	Alexandria Real Estate Equities Inc.	NYSE
OIS	Oil States International Inc.	NYSE
SKM	SK Telecom Co. Ltd.	NYSE
PRE	PartnerRe Ltd.	NYSE
PWR	Quanta Services Inc.	NYSE
PII	Polaris Industries Inc.	NYSE
RMD	ResMed Inc.	NYSE
CPO	Corn Products International Inc.	NYSE
DKS	Dick's Sporting Goods Inc.	NYSE
NRG	NRG Energy Inc.	NYSE
SAI	SAIC Inc.	NYSE
AMD	Advanced Micro Devices Inc.	NYSE
TSS	Total System Services Inc.	NYSE
ANF	Abercrombie +ACY- Fitch Co.	NYSE
RGA	Reinsurance Group of America Inc.	NYSE
TEG	Integrys Energy Group Inc.	NYSE
AUO	AU Optronics Corp.	NYSE
SUN	Sunoco Inc.	NYSE
RHI	Robert Half International Inc.	NYSE
ERJ	Embraer S/A	NYSE
RDY	Dr. Reddy's Laboratories Ltd.	NYSE
SIG	Signet Jewelers Ltd.	NYSE
TKR	Timken Co.	NYSE
HRL	Hormel Foods Corp.	NYSE
MAS	Masco Corp.	NYSE
MSCI	MSCI Inc. Cl A	NYSE
WLT	Walter Energy Inc.	NYSE
AXS	Axis Capital Holdings Ltd.	NYSE
RAH	Ralcorp Holdings Inc.	NYSE
WRB	W.R. Berkley Corp.	NYSE
GPN	Global Payments Inc.	NYSE
AIZ	Assurant Inc.	NYSE
DRC	Dresser+AC0-Rand Group Inc.	NYSE
RS	Reliance Steel +ACY- Aluminum Co.	NYSE
DNB	Dun +ACY- Bradstreet Corp.	NYSE
STZ	Constellation Brands Inc. Cl A	NYSE
OI	Owens+AC0-Illinois Inc.	NYSE
X	United States Steel Corp.	NYSE
VAL	Valspar Corp.	NYSE
HUB.B	Hubbell Inc. Cl B	NYSE
TCO	Taubman Centers Inc.	NYSE
WBC	WABCO Holdings Inc.	NYSE
EGN	Energen Corp.	NYSE
MKL	Markel Corp.	NYSE
MLM	Martin Marietta Materials Inc.	NYSE
OCR	Omnicare Inc.	NYSE
RE	Everest Re Group Ltd.	NYSE
TSO	Tesoro Corp.	NYSE
SBS	Companhia de Saneamento Basico do Estado de Sao Paul	NYSE
SNI	Scripps Networks Interactive Inc. Cl A	NYSE
UHS	Universal Health Services Inc. Cl B	NYSE
NFG	National Fuel Gas Co.	NYSE
VIP	VimpelCom Ltd.	NYSE
RCL	Royal Caribbean Cruises Ltd.	NYSE
TKC	Turkcell Iletisim Hizmetleri A.S.	NYSE
DHI	D.R. Horton Inc.	NYSE
LRY	Liberty Property Trust	NYSE
AJG	Arthur J. Gallagher +ACY- Co.	NYSE
REG	Regency Centers Corp.	NYSE
FNF	Fidelity National Financial Inc.	NYSE
ITC	ITC Holdings Corp.	NYSE
SPW	SPX Corp.	NYSE
PCS	MetroPCS Communications Inc.	NYSE
MDU	MDU Resources Group Inc.	NYSE
PNR	Pentair Inc.	NYSE
KEX	Kirby Corp.	NYSE
SEE	Sealed Air Corp.	NYSE
TNB	Thomas +ACY- Betts Corp.	NYSE
